Date,Tested_Raw,Positive_Raw,Recovered_Raw,Died_Raw
2020-02-22,3,0,0,0
2020-02-24,5,0,0,0
2020-02-25,3,0,0,0
2020-02-26,6,0,0,0
2020-02-27,7,0,0,0
2020-02-28,8,0,0,0
2020-02-29,2,0,0,0
2020-03-02,4,0,0,0
2020-03-03,7,0,0,0
2020-03-04,8,0,0,0
2020-03-05,1,0,0,0
2020-03-06,4,0,0,0
2020-03-09,5,0,0,0
2020-03-10,14,0,0,0
2020-03-11,7,0,0,0
2020-03-12,11,0,0,0
2020-03-13,26,2,0,0
2020-03-14,99,3,0,0
2020-03-15,27,8,0,0
2020-03-16,24,3,0,0
2020-03-17,13,3,0,0
2020-03-18,35,1,0,0
2020-03-19,21,1,0,0
2020-03-20,77,3,0,0
2020-03-21,150,7,0,0
2020-03-22,10,2,0,1
2020-03-23,113,28,0,0
2020-03-24,42,2,0,0
2020-03-25,34,8,0,0
2020-03-26,119,15,1,0
2020-03-27,106,2,0,0
2020-03-28,46,3,0,0
2020-03-29,45,3,0,0
2020-03-30,69,12,0,0
2020-03-31,116,6,5,0
2020-04-01,113,13,4,0
2020-04-02,120,1,0,0
2020-04-03,243,9,6,0
2020-04-04,128,5,7,0
2020-04-05,93,5,0,0
2020-04-06,129,20,1,2
2020-04-07,259,19,6,2
2020-04-08,218,40,7,1
2020-04-09,117,3,1,1
2020-04-10,189,23,14,0
2020-04-11,130,33,6,0
2020-04-12,250,79,1,0
2020-04-13,154,15,4,1
2020-04-14,137,10,3,0
2020-04-15,173,36,5,1
2020-04-16,195,26,8,2
2020-04-17,209,31,5,1
2020-04-18,242,30,9,0
2020-04-19,295,51,9,0
2020-04-20,353,37,21,3
2020-04-21,191,6,5,3
2020-04-22,172,26,10,0
2020-04-23,255,39,21,1
2020-04-24,263,34,3,0
2020-04-25,292,28,3,1
2020-04-26,297,32,1,1
2020-04-27,226,17,35,1
2020-04-28,250,10,31,0
2020-04-29,225,9,17,0
2020-04-30,243,7,22,0
2020-05-01,221,7,27,0
2020-05-02,231,10,38,0
2020-05-03,412,11,45,3
2020-05-04,254,4,87,0
2020-05-05,220,1,43,1
2020-05-06,324,4,28,0
2020-05-07,229,1,28,0
2020-05-08,243,1,61,1
2020-05-09,177,8,31,3
2020-05-10,200,14,2,1
2020-05-11,196,11,2,2
2020-05-12,257,24,14,4
2020-05-13,255,8,0,0
2020-05-14,300,18,19,0
2020-05-15,236,10,1,1
2020-05-16,407,23,22,0
2020-05-17,202,7,23,1
2020-05-18,200,3,18,3
2020-05-19,211,1,15,0
